CovidenceID,Method, Muscle Volume measurement, Fiber /fascicle length measurement , PCSA /ACSA calculation method, Torque measurement method, Force measurement/calculation method, miscellaneous
2664,1,"Calculated based on the equation by Morse et al. 2007 using: 
Femur length: measured with ultrasound
ACSA: MRI taken at 40% of femur length and calculating the area of each muscle. ","ultrasound measured during MVC

Using the method 2 of Erskine et al 2009. 
During MVC at the optimal knee angle, VL muscle fascicle length was measured using ultrasonography. This measurement was taken at a 50% of femur length along the mid-sagittal plane of the VL muscle","At 40% of femur length MRI was used to measure each component of QF muscle. 
Calculated by dividing Vm by VL fascicle length

Muscle volume/ VL fiber length.
VL assumed to represent average architecture of QF
","Isometric leg extension MVC were performed on a dynamometer at optimal knee joint angle. Antagonist muscle coactivation estimated assuming a linear relationship between torque and EMG activity of biceps femoris. 
Interpolated twitch technique used to determine max volunatry QF muscle activation. 
Patellar tendon moment arm: MRI
Correcting MVC torque for QF muscle activation and antag coact. true maximal torque.


Correcting MVC torque for QF muscle activation and
antagonist muscle coactivation provided true maximal
torque"," Maximal patellar tendon force calculated with: 
F = TMT x d(PT)-1

 patellar tendon moment arm
(dPT) was determined via MRI","QF specific tension was determined from measurements
of maximal voluntary contractions of the QF muscle
with superimposed electrical stimulation and antagonist
muscle activity assessed from EMG signals, together with
a magnetic resonance imaging (MRI) measurement of
ACSA and determination of fascicle pennation angle and
length for the vastus lateralis (VL) muscle, as described
in method 2 of Erskine et al. 2009"
2664,2,"17 participants: Volume of each constituent muscle was measured. 

one MRI 40% femur length and regression to estimate volume","17 participants: Using method 1 of Erskine et al. 2009 
Fascicle length and pennation angle determined for each of the 4 heads of the QF. ","
individual muscle volume/fiber length ",,,
2664,3,,,,,,
2653,1,"Femur length was measured as the distance from the tibi-
ofemoral point of contact to the proximal insertion of the
VL muscle, identified using ultrasonography. Oil-filled beads were attached to the
skin at the measurement location (corresponding to 40% of
femur length from the distal end). 
The participant was
scanned in the supine position, and five serial axial slices
were acquired around the position of the beads using a spin
echo T1-weighted protocol. 
Slice thickness 5 mm; interslice gap 5 mm.
The ACSA
of each constituent QF muscle and a series of regression
equations, QF volume was estimated by adapting a previously published method (Morse et al. 2007)
","During MVC at optimum knee joint angle, ultrasound
scans of the vastus lateralis (VL) muscle fascicle length
(Lf) and pennation angle (hp) were acquired at 50% of the
muscle length along the mid-sagittal plane and Lf and hp
were subsequently measured using digitizing software."," QF PCSA was calculated
by dividing the estimated QF volume by VL Lf","Isometric leg-extension MVC torque was assessed using an isokinetic dynamometer with the knee joint angle set at 70–90 knee flexion (depending on the angle at which peak torque was produced, defined as the optimum angle
True maximal torque (TMT) was calculated as:
TMT= MVCcorr/ (1-t/T)
where t is the amplitude of the superimposed twitch, T the value of the twitch before the MVC and MVCcorr is the MVC corrected for co-activation.","The patellar tendon moment arm (dPT) was quantified using a
0.2-T magnetic resonance imaging (MRI) scanner. PT was defined
as the length of the perpendicular line between the axis of the
patellar tendon and the TFCP (Tsaopoulos et al. 2006). This value
was subsequently multiplied by 1.14 to account for a 14%
increase in dPT from rest to MVC (Tsaopoulos et al. 2007).
Maximum isometric QF force (F) was thus calculated as:
F = TMT/dPT","using method 2 of Erskine 2009

Training-
unilateral knee
extension exercises were performed three times a week for a period of 9 weeks on the right leg. The single repetition maximum (1 RM) was determined at the beginning of the training programme and reassessed at the start of each week on a standard leg-extension machine
"
2653,2,,,,,,
2653,3,,,,,,
2651,1,"Muscle volume was estimated from a series of continuous
axial-plane MRIs along the lower leg

Muscle volume was estimated from a series of continuous
axial-plane  MRI

In each slice, the anatomical cross-sectional areas (ACSAs) of Sol and TA were digitized, and the respective muscle volumes were calculated asthe product of the sum of the ACSAs in all slices times the MRI slice thickness.","Sonograph

pennation angles and fascicular lengths were measured using ultrasonography during MVC

For the bipennate TA, the fascicular length and pennation angle of each unipennate half were measured separately, and average values across the two halves were used for further analyses","Estimations of PCSA were obtained from the ratio of muscle volume to fascicular length. Sol was treated as a unipennate muscle (2, 10), and TA was treated as two separate equidimensional unipennate parts, each one occupying half the whole muscle volume. The whole TA PCSA was obtained by adding the PCSAs of the two unipennate halves","Joint moments were measured during electrical stimulation

Three minutes after the completion of all six voluntary contractions, isometric ankle moments were generated by means of percutaneous electrical stimulation of Sol and TA

Furthermore, at the adopted knee position of 60°, the biarticular gastrocnemius is slack (yet active during Sol stimulation),thus transmitting only a minor force to the calcaneus during plantar flexion contraction (12, 15, 16). Therefore, the ankle moments recorded during stimulation in our experiment were considered to have negligible contributions from muscles other than Sol and TA

Subjects were securely fixed in the prone position on an isokinetic dynamometer.Three
isometric plantar flexion maximum voluntary contractions
(MVCs) and three dorsiflexion MVCs were performed. Maximal tetanic contractions were
produced by 2 s of stimulation at frequencies of 100 Hz using bipolar wave pulses of a duration of 100 ms. ","moment arm measured using MRI during MVC

sagittal-plane MRIs of the foot were taken at rest and during plantar flexion and dorsiflexion MVCs at ankle angles corresponding to 15°of dorsiflexion, neutral ankle position, and 15° of plantarflexion

Tendon force was calculated by dividing joint moment by
the moment arm length

Muscle force was calculated by dividing tendon force by the
cosine of pennation angle","Two approaches were followed to estimate specific tension. First, muscle moments during electrical stimulation and moment arm lengths, fascicular lengths, and pennation angles during MVC were used (data set A). Then, MVC moments, moment arm lengths at rest, and cadaveric fascicular lengths and pennation angles were used (data set B)"
2651,2,,"cadaver fascicle lengths and pennation angle
Cadaveric pennation angles reported byWickiewicz et al. (43) were included. Fascicular lengths were estimated with the assumption that the muscle fascicle length-to-muscle length ratio is constant for a given muscle across different cadavers
Muscle length was measured in vivo as the distance between the most proximal and most distal axial-plane MRIs in which the muscle was visible

muscle fascicle length-to-muscle length ratio is
0.06 in soleus (Sol) and 0.25 in T

",,"Joint moments were measured during maximum voluntary contraction (MVC)

No passive forces were detected by the dynamometer load cell in the plantar flexion and dorsiflexion directions at the position studied (see also Ref. 38). Three isometric plantar flexion maximum voluntary contractions (MVCs) and three dorsiflexion MVCs were performed 2 min apart, after having compensated for the effect of gravity by performing dynamic weighing of the limb. The highest plantar flexion and dorsiflexion MVC moments obtained were used for further analyses",Moment arm measured at rest,
2651,3,,,,,,
2649,1,"The muscle volume was calculated using contiguous axial ACSA scans taken from the tibiofemoral joint to the iliac crest. MRI slice thickness was set at 2.8 mm. 15 scans at 3.08 cm intervals.  
A spline curve was fitted to the ACSA data points associated with each of 4 component muscles and muscle volume was calculated as the area under the curve (Seynnes 2008)
","Measurements of muscle fascicle length (Lf) and
pennation angle (hp) were performed on selected images
using digitizing software. 
Pennation angle was measured as the angle between the muscle fascicular paths and their insertion to the deep aponeurosis. 
Lf was measured by tracing the fascicle echo from origin to insertion on US image. If one end of fascicle extended beyond the end of the US image the Lf was estimated by extrapolating the superficial and lower aponeuroses as well as the fascicle.  In the case of the bi-
pennate RF muscle, only the lateral hp and Lf was analysed. 
he Lf and hp of each constituent muscle was
multiplied by the ratio of its respective volume to total QF
volume. The sum of these values represented the weighted
mean QF Lf and hp at optimum joint angle.","The PCSA of each of the four constituent muscles of the
QF was calculated by dividing the component muscle
volume by its respective optimum Lf. The total RF volume
was divided by the lateral Lf. The complete QF PCSA was
given by the sum of the PCSAs of the four constituent
muscles","To calculate patellar tendon forces, the torque developed at
the knee must be divided by the patellar tendon moment
arm length (dPT). The procedure used to measure dPT has
been described elsewhere (Tsaopoulos et al. 2006).  Briefly,
dPT was quantified using a 0.2-T MRI scanner. PT was defined as
the length of the perpendicular line between the axis of the
patellar tendon and the TFCP (Tsaopoulos et al. 2006).
Previously reported values of dPT length at full extension
(0 knee flexion) and angles of 70, 80 and 90 knee flexion (Baltzopoulos 1995) were used to provide the necessary ratios with which to estimate dPT length at optimum knee
joint angle, i.e.
1. dPT 70/dPT 0 = 1.08
2. dPT 80/dPT 0 = 1.03
3. dPT 90/dPT 0 = 0.99
The appropriate ratio was applied to the dPT measured at
full extension to provide the estimated dPT at optimum joint
angle, which was subsequently multiplied by 1.14 to
account for a 14% increase in dPT from rest to MVC
(Tsaopoulos et al. 2007)



dynamometer with antagonist (hamstring) muscle
co-activation check
Participants were asked to perform a minimum of
two MVCs (if the second attempt was [10% higher than the first, a third attempt was made to ensure a true MVC
was achieved) at three separate knee joint angles (70, 80,and 90 of knee flexion; 0
 equalling full extension)

The procedure for determining the level of voluntary muscle
activation using the interpolated twitch technique (ITT) 
True maximal torque (TMT)
was calculated as:
TMT= MVCcorr/(1-t/T)

where t is the amplitude of the superimposed twitch, T the
value of the twitch before the MVC and MVCorr the
MVC corrected for co-activation. The percentage
activation was given by:
100(1-t/T)","Patellar tendon force
(Ft) was determined from MVC, accounting for antagonist
muscle co-activation, the level of voluntary muscle activa-
tion, patellar tendon moment arm (dPT) and optimum muscle
fascicle pennation angle (hp)


To calculate patellar tendon forces, the torque developed at
the knee must be divided by the patellar tendon moment
arm length (dPT), quantified using a 0.2-T MRI scanner

Previously reported values of dPT length at full extension (0 knee flexion) and angles of 70 , 80 and 90 knee flexion (Baltzopoulos 1995) were used to provide the necessary ratios with which to estimate dPT length at optimum knee joint angle

The appropriate ratio was applied to the dPT measured at
full extension to provide the estimated dPT at optimum joint
angle, which was subsequently multiplied by 1.14 to
account for a 14% increase in dPT from rest to MVC
(Tsaopoulos et al. 2007).","Method 1 was the most detailed assess-
ment of specific tension, where QF PCSA was calculated by
accounting for the optimum fascicle length (Lf) and volume
of each of the four constituent muscles. Patellar tendon force
(Ft) was determined from MVC, accounting for antagonist
muscle co-activation, the level of voluntary muscle activa-
tion, patellar tendon moment arm (dPT) and optimum muscle
fascicle pennation angle (hp)"
2649,2,QF volume was estimated from a single QF ACSA measured at 40% of femur length. Regressions equations used to estimate the volume of the QF muscles (Morse 2007). 551 cm3 was added to the QF volume to provide accurate estimation. ,"VL Lf measured during MVC at optimum
joint angle was assumed to be representative of the mean Lf
for the entire QF.","Quadriceps femoris PCSA was calculated by dividing
the estimated QF volume by the fascicle length (Lf) of the
VL only ",,"VL muscle geometry at MVC was
assumed to be representative of the mean QF architecture"," Method 2 was identical to
Method 1, except that the VL muscle geometry at MVC was
assumed to be representative of the mean QF architecture.
Additionally, QF volume was estimated from a single ACSA and the femur length, as described by Morse et al. (2007) 

To circumvent some of the problems associated with making multiple measurements, a simpler method was employed in which QF muscle volume was calculated from a single ACSA and the geometry of the VL muscle was considered representative of the total QF muscle architec-
ture (Method 2)"
2649,3,,,,,,
2648,1,"The volumes of the vastus lateralis (VL), vastusintermedialis (VI), vastus medialis (VM) and rectusfemoris (RF) muscles of the participants’ dominant leg were measured from axial-plane MRIs


From these images, the cross-sectional areas of individual muscles were measured in scans at 18.9 mm intervals. The volume of each muscle head was calculated as the sum of the cross-sectional area in all scans multiplied by the distance between each measured slice (1.89 cm)
","The fascicle
length, taking into account any curvature, was measured
from the point of insertion on the superficial and deep
aponeuroses

At the joint angle that corresponded to the greatest estimated Fquad, additional MVCs were performed during which ultrasound recordings were made of the VL, VI, VM and RF muscles. The recordings were taken from the mid-belly of each muscle, which, in the case of VL, VM and RF, was at 39, 22 and 56% of the distance from the proximal edge of the patella to the anterior superior iliac spine, respectively.

For the VI muscle, the mean of the fascicle architecture from the anterior and lateral portion was used to describe the architecture of the whole muscle.","PCSA is
equal to the ratio between muscle volume and optimal
fascicle length","Participants were seated and securely strapped on the seat of an isokinetic dynamometer

The level of antagonistic co-activation during the knee extension MVC was estimated from the moment–electromyogram (EMG) relationship of the knee flexor muscles. At each joint angle, participants also performed isometric knee flexions at 10, 20, 50, 70 and 100% of MVC, during which the surface EMG from the biceps femoris muscle was recorded through two

The EMG of the biceps femoris during the knee extensions was then compared with the knee flexion moment–EMG relationship to determine the corresponding joint moment that this muscle would produce as an antagonist

The level of voluntary activation was quantified from superimposed and resting doublets using the interpolated twitch technique

Percentage activation = [1 − (superimposed doublet moment/resting doublet moment)] × 100

The MVC moment produced by the quadriceps (QuadMVC) was estimated as the sum of the measured joint moment (JointMVC) and the calculated antagonist moment. To correct for any deficit in voluntary activation andthus to estimate the moment that would be produced by the quadriceps if they were fully activated (Quad100%)
","Specific tension = (tendon force × cos θ−1)/PCSA

The PCSA × cos θ of the entire quadriceps was therefore calculated as the sum of the PCSA × cos θ of each quadriceps head. The Fquad was then divided by the quadriceps PCSA × cos θ to determine the specific tension of the entire quadriceps muscle

The PTMA was measured from sagittal-plane magnetic resonance images (MRI) taken at each knee angle with
a 0.2 T MRI scanner .The MVC moment produced by the quadriceps
(QuadMVC) was estimated as the sum of the measured
joint moment (JointMVC) and the calculated antagonist moment. To correct for any deficit in voluntary activation and thus to estimate the moment that would be produced by the quadriceps if they were fully activated (Quad100%) the
QuadMVC moment and ITT were used in eqn (2), assuming a linear relationship between moment and voluntary The calculated Quad100% was then used to calculate peak
patellar tendon force (F pt) during a fully activated effort
by dividing Quad100% by the PTMA at the knee angle measured by the goniometer during that trial. Finally, the Fquad was calculated from the F pt using the ratios provided by Buff et al. (1988), which account for the fact that the patella is not a frictionless pulley for transmitting force from the quadriceps to the tibia.","The ITT is susceptible to errors resulting from changes in series elastic stiffness between joint angles, which makes it an unsuitable means of quantifying activation level across a range of joint angles (Bampouras et al. 2006). However, recent experiments in adults and children indicate that the level of knee extensor muscle activation does not differ across knee joint angles and that the ITT outcome at 90 deg knee flexion is a realistic estimate of voluntary activation for the quadriceps muscle across all knee joint angles (O’Brien et al. 2009b)


By incorporating the size and architecture measurements of all four quadriceps heads in the calculation of a specific tension for the entire quadriceps muscle, the errors associated with distributing the tendon force between the separate heads was minimized
"
2648,2,,,,,,
2648,3,,,,,,
2646,1,"Muscle length was measured as the distance between the most proximal and the most distal images in which the muscle was visible on MRI axial scans. 
Muscle volume = sum ACSA x distance between each section ","Fiber length = muscle length x k
k ratio of fiber length to muscle length reported by Wickiewicz et al. Data from 2 cadavers used to increase data robustness for Soleous mean fiber length 2.0 and 2.3 cm,. ","ACSA: MRI 1.5 T, T1 axial plane performed slice thickness 10 mm, interslice gap 0 mm. Contiguous axial 10 mm section of the RLL were measured, number of sections obtained for each subject was 47-49. 
PCSA=muscle volume x cos 0/fiber length
0: angle of muscle fiber pennation in one dimension reported by Wickiewicz et al. 

Vol*cos(alpha)/fiber length","The length of the moment arm of aquiles tendon and TA were calculated from sagittal plane images of ancle (method of Rugg et al). Images at 90 and 120º akle. 
Torque measured for plantar flexors and dorsiflexors Cybex dynamometer. Supine, knee fully extended and secured. 
Maximum static plantar flexion or dorsiflexion contractions (5 s duration) at least 3 times at ankle joint angles of 90, 100, 110, 120º on each of 2 test days. 


 Peak torque measured under any condition was used as max. torque.",moment arm of achilles tendon and TA calculated in saggital plane from MRI according to Rugg et al 1990,
2646,2,,,,,,
2646,3,,,,,,
